id,name,category,sub_category,definition_or_measurement,primary_data_level,data_source,dimensions,privacy_notes,status
T8,Translation reference quality,Input processing and output,Translation,"COMET or BLEU plus human MQM on a separate approved gold corpus",model evaluation,Gold corpus,"language pair;model;domain",Use approved evaluation data only,defined
S1,TTS success rate,Input processing and output,TTS,"Successful TTS jobs divided by started TTS jobs",translation_quality,translation_quality,"target language;voice;model",No output audio required,defined
S2,TTS latency,Input processing and output,TTS,"Count p50 p95 p99 and maximum of TTS duration_ms",translation_quality,translation_quality,"text-length bucket;target language",No output audio required,defined
S3,Playback-start success rate,Input processing and output,Playback,"Playback started divided by messages with available TTS audio",translation_quality,translation_quality,"browser;OS;audio format",Client event without audio content,defined
S4,Playback completion rate,Input processing and output,Playback,"Playback completed divided by playback started",translation_quality,translation_quality,"browser;length",Client event without audio content,defined
S5,Playback early-stop rate,Input processing and output,Playback,"Playbacks stopped before 80 percent of output duration divided by started playbacks",translation_quality,translation_quality,"browser;language",Do not interpret as failure without feedback,defined
S6,Playback replay rate,Input processing and output,Playback,"Messages with at least two playback starts divided by messages with at least one playback start",translation_quality,translation_quality,"language;client",Client event without audio content,defined
S7,Negative audio feedback rate,Input processing and output,Playback,"Negative TTS or audio ratings divided by submitted audio ratings",translation_quality,translation_quality,"voice;target language",Voluntary feedback only,defined
C1,Microphone-permission success rate,Input processing and output,Client audio,"Permission granted divided by permission requested",translation_quality,translation_quality,"browser family;OS",No device identifier,defined
C2,Recording success rate,Input processing and output,Client audio,"recording_finished divided by recording_started",translation_quality,translation_quality,"browser;audio format",No audio content required,defined
C3,Conversion success rate,Input processing and output,Client audio,"Successful conversions divided by started conversions",translation_quality,translation_quality,"source codec;browser",No audio content required,defined
C4,Upload success rate,Input processing and output,Upload,"message_upload_completed divided by upload attempts",translation_quality,translation_quality,"size bucket;network class;client",No IP address,defined
C5,Upload latency,Input processing and output,Upload,"Count p50 p95 p99 and maximum of upload_duration_ms",translation_quality,translation_quality,"size bucket;network class",No IP address,defined
C6,Upload throughput,Input processing and output,Upload,"input_bytes divided by upload_duration_ms times 1000",translation_quality,translation_quality,"size bucket;network class",Use distributions not individual values,defined
C7,User cancellation during processing,Input processing and output,Upload,"Messages cancelled before a terminal pipeline result divided by started processing jobs",translation_quality,translation_quality,"cancel stage;latency bucket",Separate user action from technical failure,defined
C8,Browser compatibility error rate,Input processing and output,Client audio,"client_media plus client_conversion failures divided by recording attempts",translation_quality,translation_quality,"browser family;major version",No raw user agent,defined
M1,ASR reference error,Model and experiments,ASR model,"WER or CER with confidence intervals on a frozen representative gold corpus",model evaluation,Gold corpus,"model;language",Use a consented approved corpus,defined
M2,ASR production proxy,Model and experiments,ASR model,"A4–A7 by model comparison unit",model evaluation,translation_quality,"provider;model version;config;deployment",Not a replacement for M1,defined
M3,Translation reference quality,Model and experiments,Translation model,"COMET and human MQM using the same corpus and rubric",model evaluation,Gold corpus,"model;language pair;domain",Use approved evaluation data only,defined
M4,Meaning-loss rate,Model and experiments,Translation model,"meaning_changed feedback divided by translations with feedback",model evaluation,translation_quality,"model;language pair",Report feedback response rate,defined
M5,TTS listening quality,Model and experiments,TTS model,"Mean and 4–5 share of controlled voluntary intelligibility and naturalness test",model evaluation,Listening test,"model;voice;language",Voluntary test feedback only,defined
M6,Model stage success rate,Model and experiments,Model reliability,"Successful stage calls divided by started stage calls",model evaluation,translation_quality,"stage;provider;model;config;deployment",No content required,defined
M7,Model latency and real-time factor,Model and experiments,Model performance,"Count p50 p95 p99 and maximum by model language and length bucket",model evaluation,translation_quality,"model;language;length bucket",No content required,defined
M8,Model end-to-end benefit,Model and experiments,Model outcome,"Q1 Q3 F2 F7 and F8 for comparable model arms",model evaluation,"session_quality;translation_quality","experiment;model arm;language pair",Use consistent experiment assignment,defined
M9,Model resource and cost efficiency,Model and experiments,Model efficiency,"CPU RAM queue time and reliable cost per successful translation",model evaluation,"translation_quality;operations","model;deployment;length bucket",Use documented cost allocation,defined
M10,Model regression rate,Model and experiments,Model quality,"Metrics outside defined baseline tolerance after model or configuration change",model evaluation,"release;model evaluation","model;config;deployment",Freeze comparison baseline,defined
R1,Connection success rate,Connectivity resilience and operations,Connection,"Successfully opened WebSockets divided by connection attempts",session_quality,session_quality,"client;network class",No IP address,defined
R2,Unexpected disconnect rate,Connectivity resilience and operations,Connection,"Disconnects whose reason is not normal_end divided by active connections",session_quality,session_quality,"reason;client;transport",Pseudonymous connection data only,defined
R3,Reconnect success rate,Connectivity resilience and operations,Connection,"Reconnects completed within 60 seconds divided by reconnect attempts",session_quality,session_quality,"client;reason",Pseudonymous connection data only,defined
R4,Heartbeat timeout rate,Connectivity resilience and operations,Connection,"Heartbeat timeouts divided by connection minutes",session_quality,session_quality,"client;network class",Pseudonymous connection data only,defined
R5,Fallback rate,Connectivity resilience and operations,Fallback,"Messages or conversations with fallback_used=true divided by total messages or conversations",session_quality,"session_quality;translation_quality","fallback reason;client",Report message and conversation levels separately,defined
R6,Service failure rate,Connectivity resilience and operations,Pipeline reliability,"Stage failures divided by started jobs for that stage",translation_quality,translation_quality,"stage;error class;provider",No raw error text,defined
R7,Timeout rate,Connectivity resilience and operations,Pipeline reliability,"Timeout failures divided by started jobs",translation_quality,translation_quality,"stage;configuration",No raw error text,defined
R8,Retry rate,Connectivity resilience and operations,Pipeline reliability,"Jobs with retry_count greater than zero divided by started jobs plus retry-count distribution",translation_quality,translation_quality,"stage;error class",No raw error text,defined
R9,Capacity indicator,Connectivity resilience and operations,Capacity,"Queue wait queue depth and saturation per service",operations,Operations telemetry,"service;instance pool",No session IDs in metric labels,defined
R10,SLO compliance,Connectivity resilience and operations,SLO,"Valid measurements meeting documented KPI SLO divided by valid measurements in SLO window",operations,"session_quality;translation_quality;operations","SLO ID;release",Document exclusions and runbook,defined
F1,Feedback response rate,User feedback and support,Feedback,"Sessions or messages with feedback divided by feedback invitations",session_quality,"session_quality;translation_quality","prompt version;client",Voluntary feedback only,defined
F2,Perceived understandability,User feedback and support,Feedback,"4–5 share and mean of SQ1",session_quality,session_quality,"language pair;input mode",Report cannot_assess separately,defined
F3,Perceived usability,User feedback and support,Feedback,"4–5 share and mean of SQ3",session_quality,session_quality,"client;conversation length",Voluntary feedback only,defined
F4,Problem rate,User feedback and support,Feedback,"Feedback with issue category divided by submitted feedback",session_quality,"session_quality;translation_quality","category;pipeline stage",No free text without consent,defined
F5,Support-contact rate,User feedback and support,Support,"Conversations linked to an authorised support case divided by ended conversations",session_quality,"session_quality;support case","category;tenant",Use pseudonymous authorised linkage only,defined
F6,Support-case reproducibility,User feedback and support,Support,"Support cases with sufficient correlated telemetry divided by support cases",operations,"support case;telemetry","error class;client",Use pseudonymous linkage only,defined
F7,Perceived speed,User feedback and support,Feedback,"4–5 share and mean of SQ2",session_quality,session_quality,"end-to-end latency bucket;language pair",Voluntary feedback only,defined
F8,Trust in SSF,User feedback and support,Feedback,"4–5 share and mean of SQ4 where SQ4 was shown",session_quality,session_quality,"language pair;error and latency bucket",Voluntary feedback only,defined
SQ1,Conversation understandability question,User feedback and support,Survey,"How well could you understand the other person in this conversation?",session_quality,"session_quality;translation_quality","language pair;ASR proxy;delivery",Voluntary skippable survey,defined
SQ2,Conversation speed question,User feedback and support,Survey,"How satisfied were you with the speed of the conversation?",session_quality,"session_quality;translation_quality","latency;fallback;network quality",Voluntary skippable survey,defined
SQ3,Conversation usability question,User feedback and support,Survey,"How easy was it to use SSF in this conversation?",session_quality,"session_quality;translation_quality","activation;permission;recording;reconnect;client",Voluntary skippable survey,defined
SQ4,Conversation trust question,User feedback and support,Survey,"How much would you rely on SSF for an important conversation?",session_quality,"session_quality;translation_quality","understanding;latency;errors;repeats;connection",Show only in sampled sessions or a defined study,defined
X1,Time to first translation,Conversation and session,Conversation flow,Time from activation to first successful translation,session_quality,"session_quality;translation_quality","language pair;input mode",No content required,candidate
X2,Inter-turn time,Conversation and session,Conversation flow,Time between delivered conversation turns,session_quality,translation_quality,"direction;language pair",Pseudonymous sequence data only,candidate
X3,Conversation overlaps,Conversation and session,Conversation flow,Overlapping recording or message-processing intervals,session_quality,translation_quality,"input mode;client",No audio content required,candidate
X4,Repair sequences,Conversation and session,Conversation flow,Count of clarification or repair sequences,session_quality,"translation_quality;feedback","language pair;input mode",Use structure or voluntary feedback not content,candidate
X5,Conversation pauses,Conversation and session,Conversation flow,Distribution of inactive periods during a conversation,session_quality,session_quality,"conversation length;client",Pseudonymous timing data only,candidate
X6,Audio-to-text switches,Conversation and session,Conversation flow,Count and rate of input mode switches,session_quality,translation_quality,"direction;client",No content required,candidate
X7,One-message conversations,Conversation and session,Conversation flow,Share of conversations with exactly one message,session_quality,session_quality,"language pair;client",Pseudonymous aggregates,candidate
X8,Return after interruption,Conversation and session,Conversation flow,Share returning after disconnect or interruption,session_quality,session_quality,"disconnect reason;client",Pseudonymous session data only,candidate
X9,User-reported task completion,Product outcome,Task outcome,User reports task completed,session_quality,Session survey,"tenant;use case",Voluntary survey and no task content,candidate
X10,Completion without human help,Product outcome,Task outcome,User reports completion without external human help,session_quality,Session survey,"tenant;use case",Voluntary survey,candidate
X11,External help required,Product outcome,Task outcome,User reports external help was required,session_quality,Session survey,"tenant;use case",Voluntary survey,candidate
X12,Follow-up contact,Product outcome,Task outcome,Authorised follow-up contact after the conversation,session_quality,"session_quality;authorised domain system","tenant;use case",Requires justified authorised integration,candidate
X13,Time to decision,Product outcome,Task outcome,Time to a domain decision or task completion,external system,Authorised domain system,"tenant;use case",Requires justified authorised integration,candidate
X14,Understood or not-understood signal,User feedback and support,Comprehension,Explicit user understood or not-understood signal,translation_quality,Feedback event,"language pair;model",Voluntary feedback,candidate
X15,Explicit clarification questions,User feedback and support,Comprehension,Count of user-reported or structurally detected clarification questions,translation_quality,"feedback;message structure","language pair;input mode",Avoid content analysis without consent,candidate
X16,Translation copy or share rate,User feedback and support,Comprehension,Copy or share action rate for translated output,translation_quality,Client event,"client;language pair",Do not collect copied content,candidate
X17,Major pre-send edits,Input processing and output,Comprehension,Rate of substantial pre-send edits,translation_quality,Client event,"input mode;language",Store flag or size delta unless text consent exists,candidate
X18,ASR to edited-text difference,Input processing and output,Comprehension,Difference between ASR result and edited source text,translation_quality,Consented content store,"language;model",Requires text consent,candidate
X19,Terminology error rate,Input processing and output,Translation quality,Rate of annotated terminology errors,model evaluation,"gold corpus;feedback","language pair;domain;model",Use structured feedback or approved corpus,candidate
X20,Number date and currency error rate,Input processing and output,Translation quality,Rate of annotated numeric temporal or currency errors,model evaluation,"gold corpus;feedback","language pair;model",Use structured feedback or approved corpus,candidate
X21,Name error rate,Input processing and output,Translation quality,Rate of annotated name handling errors,model evaluation,"gold corpus;feedback","language pair;model",Names require special content safeguards,candidate
X22,Negation error rate,Input processing and output,Translation quality,Rate of annotated negation errors,model evaluation,"gold corpus;feedback","language pair;model",Use structured feedback or approved corpus,candidate
X23,Politeness or register error rate,Input processing and output,Translation quality,Rate of annotated politeness or register errors,model evaluation,"gold corpus;feedback","language pair;domain;model",Use structured feedback or approved corpus,candidate
X24,Omission rate,Input processing and output,Translation quality,Rate of annotated omitted information,model evaluation,"gold corpus;feedback","language pair;model",Use structured feedback or approved corpus,candidate
X25,Addition rate,Input processing and output,Translation quality,Rate of annotated added information,model evaluation,"gold corpus;feedback","language pair;model",Use structured feedback or approved corpus,candidate
X26,Harmful translation rate,Input processing and output,Translation quality,Rate of potentially harmful translations,model evaluation,"gold corpus;feedback","language pair;model",Role-restrict sensitive classifications,candidate
X27,Glossary availability,Input processing and output,Context quality,Whether a glossary was available for the translation,translation_quality,translation_quality,"glossary version;language pair",Store glossary identifier not contents,candidate
X28,Glossary use rate,Input processing and output,Context quality,Whether the configured glossary was used,translation_quality,translation_quality,"glossary version;model",Store glossary identifier not contents,candidate
X29,Glossary hit rate,Input processing and output,Context quality,Rate of applicable glossary terms used,model evaluation,"gold corpus;consented content","glossary version;model",Requires approved evaluation or consented content,candidate
X30,Glossary override rate,Input processing and output,Context quality,Rate at which model output overrides glossary guidance,model evaluation,"gold corpus;consented content","glossary version;model",Requires approved evaluation or consented content,candidate
X31,Knowledge context availability,Input processing and output,Context quality,Whether knowledge context was available,translation_quality,translation_quality,"context version;model",Store context identifier not contents,candidate
X32,Knowledge context use rate,Input processing and output,Context quality,Whether available knowledge context was used,translation_quality,translation_quality,"context version;model",Store context identifier not contents,candidate
X33,Quality with versus without context,Input processing and output,Context quality,Quality comparison for context-enabled and control paths,model evaluation,"gold corpus;experiment","context version;model;language pair",Use controlled comparison,candidate
X34,Context retrieval latency,Input processing and output,Context quality,Latency of context retrieval,translation_quality,translation_quality,"context source;model",No context content,candidate
X35,Context retrieval failure rate,Input processing and output,Context quality,Context retrieval failures divided by attempts,translation_quality,translation_quality,"context source;error class",No context content,candidate
X36,Silence ratio,Input processing and output,Audio quality,Share of input recording classified as silence,translation_quality,Audio feature extraction,"audio format;language",Store derived value only,candidate
X37,Estimated signal-to-noise ratio,Input processing and output,Audio quality,Estimated SNR for audio input,translation_quality,Audio feature extraction,"audio format;device class",Store derived value only,candidate
X38,Clipping indicator,Input processing and output,Audio quality,Whether audio clipping is detected,translation_quality,Audio feature extraction,"audio format;device class",Store derived value only,candidate
X39,Normalization need,Input processing and output,Audio quality,Whether input required loudness normalization,translation_quality,translation_quality,"audio format;device class",No audio content,candidate
X40,VAD error rate,Input processing and output,Audio quality,Voice activity detection errors divided by attempts,translation_quality,Audio feature extraction,"model;audio format",Store derived value only,candidate
X41,Unsupported audio format rate,Input processing and output,Audio quality,Unsupported audio formats divided by audio attempts,translation_quality,translation_quality,"audio format;browser",No audio content,candidate
X42,Language-detection correctness,Input processing and output,Audio quality,Detected language matches user-selected or evaluated language,translation_quality,"translation_quality;gold corpus","language;model",Do not infer sensitive attributes,candidate
X43,Voluntary dialect or accent issue,Input processing and output,Audio quality,User-reported dialect or accent difficulty,translation_quality,Feedback event,"language;model",Voluntary only and never infer from audio,candidate
X44,Time to audible TTS start,Input processing and output,TTS,Time from playback request to audible output,translation_quality,Client event,"browser;voice;language",No output audio content,candidate
X45,TTS audio-duration ratio,Input processing and output,TTS,Output audio duration relative to source or translated text length,translation_quality,translation_quality,"voice;language",Use length bucket not text,candidate
X46,TTS loudness issue rate,Input processing and output,TTS,Voluntary reports of loudness issues,translation_quality,Feedback event,"voice;browser",Voluntary feedback,candidate
X47,TTS pronunciation issue rate,Input processing and output,TTS,Voluntary reports of pronunciation issues,translation_quality,Feedback event,"voice;language",Voluntary feedback,candidate
X48,TTS naturalness rating,Input processing and output,TTS,Voluntary rating of naturalness,translation_quality,Feedback event,"voice;language;model",Voluntary feedback,candidate
X49,TTS intelligibility rating,Input processing and output,TTS,Voluntary rating of intelligibility,translation_quality,Feedback event,"voice;language;model",Voluntary feedback,candidate
X50,Voice-change rate,Input processing and output,TTS,Rate of selected or automatic voice changes,translation_quality,Client and pipeline event,"voice;language;client",No content required,candidate
X51,External-audio-device playback failure,Input processing and output,TTS,Playback failure reported for external audio device,translation_quality,Client event,"device class;browser",Do not collect device identifiers,candidate
X52,Time to first successful session,Conversation and session,Onboarding,Time from onboarding start to first successful session,session_quality,"session_quality;client event","client;activation path",Pseudonymous lifecycle data,candidate
X53,Onboarding drop-off by step,Conversation and session,Onboarding,Abandonment rate for each onboarding step,session_quality,Client and session events,"step;client",No content required,candidate
X54,Status-message understanding,User feedback and support,Onboarding,Voluntary understanding rating for status messages,session_quality,Feedback event,"status type;client",Voluntary feedback,candidate
X55,Error-message understanding,User feedback and support,Onboarding,Voluntary understanding rating for error messages,session_quality,Feedback event,"error class;client",No free-form error text,candidate
X56,Self-recovery rate,Connectivity resilience and operations,Onboarding,Issues resolved without support contact divided by issues,session_quality,"session_quality;support case","error class;client",Use pseudonymous support linkage,candidate
X57,Help or FAQ use rate,Conversation and session,Onboarding,Help or FAQ use divided by eligible sessions,session_quality,Client event,"help topic;client",Avoid user search text,candidate
X58,Resumed-session rate,Conversation and session,Onboarding,Abandoned or interrupted sessions later resumed,session_quality,session_quality,"end reason;client",Pseudonymous session data,candidate
X59,Keyboard-use success rate,Conversation and session,Accessibility,Successful flows completed using keyboard interaction,session_quality,Client event,"client;flow",Do not infer disability,candidate
X60,Voluntary screen-reader use,Conversation and session,Accessibility,Voluntarily reported screen-reader use,session_quality,Voluntary profile or survey,"client;flow",Sensitive accessibility data; aggregate only,candidate
X61,Focus-loss rate,Conversation and session,Accessibility,Unexpected focus loss during critical flow,session_quality,Client event,"client;flow",No content required,candidate
X62,Contrast and zoom configuration,Conversation and session,Accessibility,Use of contrast or zoom configuration,session_quality,Client event,"client;flow",Do not infer disability,candidate
X63,Subtitle or text-mode use rate,Conversation and session,Accessibility,Use of subtitle or text mode,session_quality,Client event,"client;input mode",No content required,candidate
X64,Outcome by input method,Conversation and session,Accessibility,Completion and error outcomes segmented by input method,session_quality,"session_quality;translation_quality","input method;client",Minimum group size required,candidate
X65,Round-trip time,Connectivity resilience and operations,Network,Measured client-server RTT,session_quality,Client or transport telemetry,"network class;client",No IP address,candidate
X66,Network jitter,Connectivity resilience and operations,Network,Variation in network latency,session_quality,Client or transport telemetry,"network class;client",No IP address,candidate
X67,Packet-loss rate,Connectivity resilience and operations,Network,Packet loss where reliably available,session_quality,Client or transport telemetry,"network class;client",No IP address,candidate
X68,Network-class change rate,Connectivity resilience and operations,Network,Changes in network quality class during session,session_quality,session_quality,"client;transport",No carrier identity,candidate
X69,Foreground-background transition rate,Conversation and session,Device,Client foreground and background transitions,session_quality,Client event,"client;device class",No app inventory,candidate
X70,Battery-saving mode rate,Conversation and session,Device,Client reports battery-saving mode,session_quality,Client event,"device class;client",No device identifier,candidate
X71,Client memory-pressure rate,Conversation and session,Device,Client memory pressure events divided by sessions,session_quality,Client event,"browser;device class",No device identifier,candidate
X72,Client CPU-pressure rate,Conversation and session,Device,Client CPU pressure events divided by sessions,session_quality,Client event,"browser;device class",No device identifier,candidate
X73,Bluetooth audio issue rate,Input processing and output,Device,Reported Bluetooth audio problems,translation_quality,Client event,"browser;device class",No device identifier,candidate
X74,Recovery time,Connectivity resilience and operations,Recovery,Time from incident detection to successful recovery,session_quality,"session_quality;operations","error class;client",No content required,candidate
X75,Automatic recovery rate,Connectivity resilience and operations,Recovery,Automatically recovered incidents divided by recoverable incidents,session_quality,session_quality,"error class;client",No content required,candidate
X76,Manual recovery rate,Connectivity resilience and operations,Recovery,Manually recovered incidents divided by recoverable incidents,session_quality,session_quality,"error class;client",No content required,candidate
X77,Disconnect data-loss rate,Connectivity resilience and operations,Recovery,Data-loss counter after disconnects,session_quality,"session_quality;translation_quality","disconnect reason;transport",Store counter or status not lost content,candidate
X78,Conversation continuation after reconnect,Connectivity resilience and operations,Recovery,Successful continuation after reconnect divided by reconnects,session_quality,session_quality,"disconnect reason;client",Pseudonymous session data,candidate
X79,Message-order recovery rate,Connectivity resilience and operations,Recovery,Successful restoration of message order after recovery,translation_quality,translation_quality,"transport;direction",Pseudonymous sequence data only,candidate
X80,Circuit-breaker recovery time,Connectivity resilience and operations,Recovery,Time from circuit-breaker open state to stable recovery,operations,Operations telemetry,"service;deployment",No session IDs in labels,candidate
X81,GPU seconds per successful translation,Connectivity resilience and operations,Capacity and cost,GPU seconds divided by successful translations,operations,"operations;translation_quality","service;model;deployment",Use documented allocation,candidate
X82,CPU seconds per successful translation,Connectivity resilience and operations,Capacity and cost,CPU seconds divided by successful translations,operations,"operations;translation_quality","service;model;deployment",Use documented allocation,candidate
X83,Service memory consumption,Connectivity resilience and operations,Capacity and cost,Memory use by service and model deployment,operations,Operations telemetry,"service;deployment",No session IDs in labels,candidate
X84,Model load time,Connectivity resilience and operations,Capacity and cost,Time to load or warm a model,operations,Operations telemetry,"model;deployment",No content required,candidate
X85,Cache hit rate,Connectivity resilience and operations,Capacity and cost,Cache hits divided by cache lookups,operations,Operations telemetry,"service;cache type",No cache keys in labels,candidate
X86,Batch size distribution,Connectivity resilience and operations,Capacity and cost,Distribution of processing batch sizes,operations,Operations telemetry,"service;model",No content required,candidate
X87,Autoscaling latency,Connectivity resilience and operations,Capacity and cost,Time from scaling trigger to ready capacity,operations,Operations telemetry,"service;deployment",No content required,candidate
X88,Capacity reserve,Connectivity resilience and operations,Capacity and cost,Available capacity relative to required capacity,operations,Operations telemetry,"service;deployment",No content required,candidate
X89,Cost per successful conversation,Connectivity resilience and operations,Capacity and cost,Allocated cost divided by successful conversations,operations,"operations;session_quality","tenant;use case",Use documented allocation,candidate
X90,Cost per language pair,Connectivity resilience and operations,Capacity and cost,Allocated cost by language pair,operations,"operations;translation_quality","language pair;model",Minimum group size required,candidate
X91,Energy per translation,Connectivity resilience and operations,Sustainability,Estimated energy divided by translations,operations,"operations;translation_quality","model;deployment",Version estimation method,candidate
X92,GPU utilisation per successful output,Connectivity resilience and operations,Sustainability,GPU utilisation relative to successful outputs,operations,"operations;translation_quality","model;deployment",No content required,candidate
X93,Regional CO2 intensity,Connectivity resilience and operations,Sustainability,Estimated CO2 intensity of deployment region,operations,Operations telemetry,"deployment region;time window",Version emissions factor and avoid exact location,candidate
X94,Discarded-to-successful work ratio,Connectivity resilience and operations,Sustainability,Discarded processing work divided by successful work,operations,Operations telemetry,"service;model",No content required,candidate
X95,Consent rate by purpose,Privacy and security,Consent,Granted consent divided by consent requests for each purpose,tenant,Consent ledger,"purpose;category;tenant",Aggregate only,candidate
X96,Consent withdrawal rate,Privacy and security,Consent,Withdrawals divided by granted consents or active consents,tenant,Consent ledger,"purpose;category;tenant",Aggregate only,candidate
X97,Deletion latency,Privacy and security,Deletion,Time from deletion due to withdrawal or expiry to completion,operations,"consent ledger;content store","deletion reason;tenant",No content in metrics,candidate
X98,Deletion failure rate,Privacy and security,Deletion,Failed deletion jobs divided by deletion jobs,operations,"consent ledger;content store","deletion reason;storage",No content in metrics,candidate
X99,Content-store access rate,Privacy and security,Access,Authorised content-store accesses by purpose and role,operations,Audit log,"purpose;role;tenant",Do not expose content or personal identifiers,candidate
X100,Unauthorised content-store access attempts,Privacy and security,Access,Denied content-store access attempts,operations,Audit log,"reason;role;tenant",Do not expose content or personal identifiers,candidate
X101,Retention-expiry compliance,Privacy and security,Retention,Content records deleted by their retention deadline,operations,"content store;consent ledger","tenant;content category",No content in metrics,candidate
X102,Telemetry without content rate,Privacy and security,Privacy,Telemetry records with no content stored divided by all records,operations,"session_quality;translation_quality","tenant;purpose",No content required,candidate
X103,PII detection in feedback,Privacy and security,Privacy,PII detections in opted-in free-text feedback,operations,Feedback safety filter,"feedback channel;tenant",Do not store detected PII in metrics,candidate
